Country,Data_year,SLAVERY,Poverty,Cereal_yield,Stunting_u5s,Undernourish,Wasting_u5s,Life_expect,Maternal_mort,Neonatal_mort,Wellbeing,Tuberculosis,Infant_mort,Infant_vaccines,Literacy_15_24yrs,Primary_school,Yrs_of_school,Lack_contraception,F_school,M_school,F_parliam,Freshwater,Sanitation,Water_acc,Co2_fuel,Electric_acc,Fuel_acc,Growth_rate,ATMs,Child_lab,Unemploy,Infrastruct,Internet_use,Broadband,Inequality,Piped_water,Treated_waste,Climate_chg_vuln,Co2_energy_pc,Ocean_biodiv,Ocean_clean,Ocean_protect,Ocean_fisheries,Fish_overexploit,Terrestrial_protect,Forest_change,Species_survival,CPI,Gov_efficien,Homicides,Prison_pop,Property_rights,Safe_night,Regist_birth,Masskill_ongo,Masskill_ever,GDPpc_growth,Minority_rule,Ethnic_fract,Battle_deaths,Pol_cand_restr,Party_ban,Relig_freeMK,Polkill_apprvd,Freemv_M,Freemv_F,Free_discuss,Social_ineq,Soc_powerdist,Trade_openMK,Democ,Sexwrk_size,Sexwrk_HIV,Sexwrk_condom,Sexwrk_Syphilis,AIDS_death,AIDS_Orph,Physrights_indx,Extrajud_kill,Pol_impris,Torture,Polrights_indx,Free_assem,Freemv_foreign,Freemv_dom,Free_speech,Free_polit,Relig_freeCIRI,Work_rightCIRI,Econ_right_F,Pol_right_F,Indep_judic,Rape_prev,Rape_report,Rape_enclave,Rape_compl,Phys_secF,Gender_equal,Pop_dens,Urban_population,Rural_population,KOF_Globalis,Trade_open,FDI,VDEM_Libdem,GDPpc,Pol_terror,Armedcon
Afghanistan,2016,1.13,34.6,2.02060008,40.9,26.79999924,9.5,50,396,35.5,3.575000048,189.0,91.09999847,66,46.99005082,85.4,9.27439,57.50915751,22.61208577,87.52834424,27.70000076,31.04,31.89999962,55.29999924,1.378323108,43.0,14.86678,-3.583961063,0.802081543,10.30000019,9.58131218,2.0,6.39,13.5,27.81999969,31.2483802,0.0,0.12,0.425262094,89.74,43.54,3.50877193,35,35.03,6.25,0.862703096,0.835789313,11,2.796261118,6.5,76,2.5,33.71611619,37.4,1,1,0.014738921,1,0.77,7.928766322,1,4,2,0,0,0,0.566546682,0,1,-2.359147778,0,12500,0.3,51.5,0.4,500,4700.0,4,0,2,0,4,1,0,0,1,1,0,1,0,2,0,4,4,2,17,4,2,54.19711424,8670939,25985093,38.48,47.66,0.892198164,0.231,547.2281102,5.0,1
Albania,2016,0.29,1.059999943,4.89260006,23.1,4.9,9.4,65,29,6.2,4.959000111,19.0,14.0,98,98.79119016,91.24935,11.82,75.92407592,91.97434909,71.68284755,20.70000076,4.341,93.19999695,95.09999847,0.514285714,100.0,61.41861,-1.614397484,35.02526367,5.099999905,17.28909302,3.932861223,60.1,28.2,34.50999832,86.2021073,3.3572,0.25,1.607037663,90.11,67.39,40.0,62,17.86980371,37.5,5.045725971,0.854345618,36,3.567322019,5.0,158,3.048397068,61.40833033,98.6,0,1,0.024703439,0,0.22,0.0,1,4,4,0,1,1,0.899039605,0,0,-2.001444833,1,3700,0.0,76.67,7.3,200,2200.0,6,1,2,1,9,2,1,2,1,1,1,1,1,2,0,1,3,0,8,3,1,104.9671898,1680247,1195854,66.91,74.81,8.304178226,0.467,4124.108907,2.0,0
Albania,2018,0.69,0.4,4.89260006,23.1,4.9,9.4,65,29,6.2,4.959000111,19.0,13.5,98,98.79119016,91.24935,11.82,75.92407592,96.9,71.68284755,20.70000076,4.341,93.19999695,95.09999847,0.514285714,100.0,61.41861,-1.614397484,35.02526367,5.1,13.9,4.3,66.4,57.6,34.50999832,86.2021073,3.3572,0.2,1.607037663,90.11,67.39,40.0,62,17.86980371,37.5,5.045725971,0.854345618,38,3.567322019,5.0,158,3.6,60.0,98.6,0,1,0.024703439,0,0.22,0.0,1,4,4,0,1,1,0.899039605,0,0,-2.001444833,1,1700,0.0,76.67,0.7,100,4200.0,6,1,2,1,9,2,1,2,1,1,1,1,1,2,0,1,3,0,8,3,1,104.6122628,1706345,1167112,67.48,77.08,8.855371231,0.428,5268.848504,2.0,0
Algeria,2016,0.63,0.3,1.378399968,11.7,5.0,4.1,62,140,15.5,5.605000019,78.0,25.5,95,91.77964052,97.30394,13.96534,28.95442359,62.49999999,22.50755333,31.60000038,66.92,87.59999847,83.59999847,1.901502504,100.0,95.0,-2.106337342,7.288244392,5.0,10.47339153,3.376275587,18.09,0.0,43.56000137,82.414714,34.63991667,0.05,3.316037893,82.52,60.67,20.0,77,19.97,27.11864407,6.845082272,0.904063435,36,3.274635201,0.7,162,3.748118037,52.77091672,99.4,0,1,0.007576056,0,0.34,4.110873864,1,3,2,0,1,1,0.736498848,0,1,-2.277158934,0,54000,3.5,65.3,9.2,200,1400.0,4,1,1,1,3,0,1,1,0,1,0,0,1,2,1,1,2,0,9,4,5,17.02595749,29016679,11589373,56.73,55.93,1.09152506,0.129,3946.421445,2.5,1
Algeria,2018,0.27,0.3,1.378399968,11.7,4.6,4.1,62,140,15.6,5.605000019,78.0,25.2,95,91.77964052,97.30394,13.96534,28.95442359,77.6,22.50755333,31.60000038,66.92,87.59999847,83.59999847,1.901502504,100.0,95.0,-2.106337342,7.288244392,5.0,10.0,3.5,42.9,65.7,43.56000137,82.414714,34.63991667,0.1,3.316037893,82.52,60.67,20.0,77,19.97,27.11864407,6.845082272,0.904063435,33,3.274635201,0.7,162,3.8,58.0,99.6,0,1,0.007576056,0,0.34,4.110873864,1,3,2,0,1,1,0.736498848,0,1,-2.277158934,0,54000,3.5,65.3,9.2,200,1500.0,4,1,1,1,3,0,1,1,0,1,0,0,1,2,1,1,2,0,9,3,5,17.73007507,29770548,11547594,56.78,57.96,0.978947777,0.139,4114.715061,3.0,1
American Samoa,2016,0.67,0.7,4.86070013,25.2,4.6,9.4,67,27,6.8,5.477000237,46.0,34.6,90,98.13035494,92.1,14.59402,40.81364829,92.32583497,66.98912161,26.5,3.243,82.80000305,94.69999695,1.155612245,100.0,95.0,2.930533913,53.68179177,3.400000095,3.515837431,3.559736679,55.9,40.7,51.91999817,71.8284713,3.179546173,0.05,1.607037663,70.99,69.36,0.0,86,68.34869454,26.08695652,5.702894703,0.918291959,37,2.650929063,2.2,108,3.135922432,70.0,99.6,0,0,0.011575233,0,0.66,0.0,1,4,4,0,1,1,0.83125462,0,0,-2.192473833,1,7100,0.5,93.5,2.8,100,6800.0,6,2,2,1,13,2,2,2,2,2,2,0,2,2,0,1,4,0,9,4,0,278.705,48481,7118,36.66,162.88,1.726198684,0.545,11696.95556,1.5,0
American Samoa,2018,0.26,0.7,3.765100002,2.6,4.2,3.7,66,28,4.4,6.505000114,41.0,8.3,98,99.85580122,94.46968372,13.33,24.14529915,97.00598802,85.17985721,31.60000038,8.755,87.59999847,99.0,1.0,100.0,68.33842,-0.49810787,77.11152043,0.7,5.863007069,3.3,68.57,40.7,45.31999969,77.1184695,3.179546173,0.06,14.13581371,92.91,46.68,0.0,87,54.06,1.459854015,5.896393027,0.404354553,61,3.602270628,17.0,149,4.508160909,62.0,96.4,0,0,0.0,0,0.43,0.0,0,4,4,0,1,1,0.771231463,0,1,-1.767362936,1,11700,10.3,76.67,3.0,100,5800.0,7,1,2,1,10,1,2,2,0,1,2,1,1,3,2,2,4,0,9,4,5,277.325,48502,7139,58.9,168.24,4.0525189,0.385,11466.69071,2.0,0
Andorra,2016,0.33,0.0,11.53770065,2.6,1.2,0.7,73,23,1.1,5.477000237,6.3,2.7,99,99.84585742,86.53122,17.34512,68.85813149,99.0,79.24527905,39.29999924,11.71,100.0,100.0,1.155612245,100.0,82.76085,-0.399588851,126.1091054,0.0,5.188392639,4.290322507,97.9,50.5,30.70000076,71.8284713,71.26,0.02,4.625229836,98.26,83.28,58.2278481,64,87.54,45.16129032,13.17843089,0.970108177,57,3.379812899,0.9,230,5.431063775,44.0,100.0,0,0,0.030366065,0,0.4,0.0,1,4,4,0,1,1,0.538753192,0,1,-1.228394828,0,13000,7.7,58.3,3.5,100,3000.0,8,2,2,1,5,0,2,1,1,0,1,1,3,2,0,1,3,0,8,4,0,164.4617021,68199,9082,46.52,149.3,8.862389935,0.141,37224.10892,1.0,0
Andorra,2018,0.08,0.0,11.53770065,2.6,1.2,0.7,73,6,1.1,7.406000137,86.0,2.7,98,99.64229029,95.70251,18.97689,34.49519231,99.0,85.50335673,31.0,11.71,100.0,100.0,0.603197674,100.0,95.0,-3.991453154,59.32291633,0.0,3.270637274,4.8,97.9,50.5,34.27000046,77.1184695,43.0,0.2,6.367546082,86.27,72.14,62.5,66,78.98,45.16129032,1.123192485,0.982915645,84,4.263459752,0.8,179,5.811961311,89.63102288,100.0,0,0,0.030366065,0,0.19,0.0,1,4,4,0,1,1,0.969607916,0,0,-2.156292165,1,90000,15.0,97.2,0.0,1000,4000.0,7,2,1,2,9,1,2,2,1,1,0,1,3,2,2,0,3,0,9,4,5,163.8425532,67845,9120,46.88,376.5,1.753843137,0.828,42029.76274,1.0,0
Angola,2016,0.64,30.12999916,0.888799965,29.2,14.19999981,8.2,44,477,48.7,4.032999992,370.0,156.8999939,80,73.00776,97.38652,11.39,73.16878981,76.89655172,75.54479743,36.79999924,0.4755,51.59999847,49.0,3.083333333,37.0,44.77891,-2.662507675,22.96756765,23.5,7.55907917,2.2,21.26,12.2,42.65999985,31.6032535,0.0,0.08,1.354007483,73.34,61.89,0.0,16,5.69,26.08695652,3.145622669,0.935935473,15,2.852291689,10.0,105,2.4,46.21470938,35.6,0,1,-0.000248738,1,0.79,3.258096538,1,4,3,0,0,0,0.541969102,0,1,-2.327697148,0,54000,8.0,71.7,3.0,10000,140000.0,4,1,1,1,4,0,0,1,1,1,1,0,1,3,0,1,3,0,9,3,4,23.13506377,18483548,10329915,42.45,53.37,0.149774183,0.15,3506.072885,2.5,1
