Country,Data_year,Region,KOF_Globalis,Work_rightCIRI,Trade_open,FDI,VDEM_Libdem,GDPpc_2016,Armedcon,Asia,Subsah_Africa,Americas,Europe,M_East_N_Africa,Russia_Eurasia,Pol_terror,SLAVERY,SDGI_2016,Poverty,Cereal_yield,Stunting_u5s,Undernourish,Wasting_u5s,Life_expect,Maternal_mort,Neonatal_mort,Wellbeing,Tuberculosis,Infant_mort,Infant_vaccines,Literacy_15_24yrs,Primary_school,Yrs_of_school,Lack_contraception,F_school,M_school,F_parliam,Freshwater,Sanitation,Water_acc,Co2_fuel,Electric_acc,Fuel_acc,Growth_rate,ATMs,Child_lab,Unemploy,Infrastruct,Internet_use,Broadband,Inequality,Piped_water,Treated_waste,Climate_chg_vuln,Co2_energy_pc,Ocean_biodiv,Ocean_clean,Ocean_protect,Ocean_fisheries,Fish_overexploit,Terrestrial_protect,Forest_change,Species_survival,CPI,Gov_efficien,Homicides,Prison_pop,Property_rights,Safe_night,Regist_birth,Risk_masskill_2018,Masskill_ongo,Masskill_ever,GDPpc_growth,Minority_rule,Ethnic_fract,Battle_deaths,Pol_cand_restr,Party_ban,Relig_freeMK,Polkill_apprvd,Freemv_M,Freemv_F,Free_discuss,Social_ineq,Soc_powerdist,Trade_openMK,Democ,Sexwrk_size,Sexwrk_HIV,Sexwrk_condom,Sexwrk_Syphilis,AIDS_death_2016,AIDS_death_2018,AIDS_Orph_2016,AIDS_Orph_2018,Physrights_indx_2011,Extrajud_kill_2011,Pol_impris_2011,Torture_2011,Polrights_indx_2011,Free_assem_2011,Freemv_foreign_2011,Freemv_dom_2011,Free_speech_2011,Free_polit_2011,Relig_freeCIRI_2011,Work_rightCIRI_2011,Econ_right_F_2011,Pol_right_F_2011,Indep_judic_2011,Rape_prev_2018,Rape_report_2015,Rape_enclave_2015,Rape_compl_2018,Phys_secF_2014,Phys_secF_2019,Gender_equal_2015,Hum_traff_2019
Afghanistan,2018,ASIA,38.57,1,55.92,0.48,0.24,570,1,1,0,0,0,0,0,5.0,2.22,36.5,,2.02060008,40.9,26.79999924,9.5,50,396,35.5,3.575000048,189.0,91.09999847,66,46.99005082,,9.27439,57.50915751,22.61208577,,27.70000076,31.04,31.89999962,55.29999924,,43.0,14.86678,-3.583961063,0.802081543,10.30000019,9.58131218,,6.39,,27.81999969,31.2483802,0.0,0.12,0.425262094,,,,,,6.25,0.862703096,0.835789313,11.0,,6.5,76,,33.71611619,37.4,0.134,1,1,0.014738921,1,0.77,7.928766322,1,4,2,0,0,0,0.566546682,0,1,-2.359147778,0,12500.0,0.3,51.5,0.4,500.0,500.0,4700.0,5400.0,4,0,2,0,4,1,0,0,1,1,0,1,0,2,0,4.0,4.0,2.0,17.0,4.0,4.0,2.0,3.0
Argentina,2018,AMERICAS,63.02,1,26.12,0.59,0.61,11970,0,0,0,1,0,0,0,2.0,0.13,66.82,0.0,4.554999828,8.2,5.0,1.2,67,52,6.3,6.573999882,24.0,12.5,94,99.23841,95.38,17.94733,24.84076433,100.1055966,65.84022072,36.59999847,4.302,96.40000153,99.09999847,1.309626437,99.80000305,95.0,-1.071438309,59.44995441,4.400000095,6.666788101,2.98526772,64.7,32.1,44.49000168,98.0915359,11.746875,0.05,4.562048435,85.89,62.36,17.64705882,42.0,49.36,14.70588235,12.58582158,0.861084394,32.0,2.336128838,5.5,147,2.876021471,42.9296057,99.5,0.005612,0,1,0.016885522,0,0.26,0.0,1,4,4,0,1,1,0.954938645,0,0,-3.221412266,1,74900.0,5.4,96.3,,1700.0,1700.0,30000.0,31000.0,5,1,2,0,12,2,2,2,1,2,2,1,2,3,1,1.0,4.0,0.0,9.0,3.0,2.0,4.0,1.0
Armenia,2018,RUSSIA AND EURASIA,67.09,1,75.92,3.21,0.23,3770,0,0,0,0,0,0,1,3.0,0.34,65.41,2.440000057,3.026299953,20.8,5.800000191,4.2,62,25,7.4,4.349999905,45.0,14.10000038,93,99.80728398,84.11982,12.31785,59.04761905,99.63235294,76.78571316,10.69999981,37.86,89.5,100.0,0.675324675,100.0,81.48745,-0.195630491,58.26582913,3.900000095,16.29862022,4.313498436,46.3,31.0,31.29999924,99.6666829,22.58527273,0.05,1.671656966,,,,,,10.52631579,0.593045017,0.841605994,35.0,3.401135002,1.8,164,3.958414994,83.95189751,99.6,0.005065,0,0,0.053966503,1,0.13,0.0,1,4,3,0,1,1,0.87283978,0,0,-1.867682537,0,4600.0,0.6,99.1,14.3,200.0,200.0,,,4,1,1,0,6,1,1,1,1,1,0,1,1,2,0,0.0,3.0,0.0,9.0,4.0,3.0,0.0,3.0
Bangladesh,2016,ASIA,45.54,0,37.95,1.05,0.16,1330,1,1,0,0,0,0,0,4.0,0.95,44.42,43.65000153,4.405799866,36.1,16.39999962,14.3,61,176,23.3,4.693999767,227.0,37.59999847,89,79.93943,91.54676,9.97506,25.67324955,81.65137615,43.63636364,20.0,2.923,60.59999847,86.90000153,1.124528302,59.59999847,9.2603,-0.548201313,9.236862234,12.80000019,4.443553925,2.847684598,9.6,1.9,32.11999893,32.330873,0.0,0.26,0.372017175,90.97,50.04,33.33333333,2.0,2.36,10.52631579,3.5269607,0.768760392,25.0,2.852616337,2.7,42,3.458802616,80.26233449,30.5,0.04727,0,1,0.052240526,1,0.05,3.871201011,1,4,2,0,1,0,0.541175821,0,1,-2.852129745,0,140000.0,0.2,66.7,2.1,500.0,1000.0,3800.0,4500.0,2,0,1,0,7,1,2,1,1,1,1,0,1,2,0,1.0,4.0,1.0,12.0,4.0,4.0,4.0,3.0
Bolivia,2016,AMERICAS,57.74,1,56.4,1.54,0.4,3070,0,0,0,1,0,0,0,2.0,0.44,57.47,7.699999809,1.937999964,18.1,15.89999962,1.6,59,206,19.6,5.889999866,120.0,38.40000153,94,98.99588481,81.60256,13.15285,49.60835509,84.78139777,75.54479743,53.09999847,0.3638,50.29999924,90.0,2.135802469,90.5,70.97138,-1.097021609,34.711929,26.39999962,3.637384653,3.308116452,39.02,13.9,56.29000092,96.1371649,11.29666667,0.11,1.599498987,,,,,,26.78571429,5.260436717,0.868153632,34.0,3.185075937,12.1,140,3.439012321,43.89882727,75.8,0.004741,0,0,0.027533603,0,0.74,0.0,1,4,4,0,1,1,0.786002046,0,1,-2.344236351,1,13500.0,4.3,88.9,4.8,1000.0,1000.0,20000.0,19000.0,5,1,1,1,11,1,2,2,1,2,2,1,1,3,0,3.0,3.0,0.0,10.0,3.0,3.0,0.0,3.0
Botswana,2016,SUBSAHARAN AFRICA,56.22,0,97.13,0.83,0.58,6750,0,0,1,0,0,0,0,2.0,0.52,58.42,18.23999977,0.398299992,31.4,24.10000038,7.2,54,129,21.9,4.331999779,385.0,43.59999847,95,96.0374,90.33255,12.49301,25.04684572,95.80573951,79.78883724,9.5,1.585,63.40000153,96.19999695,6.111111111,53.24000168,62.59297,0.103665291,30.28354068,9.0,18.60749626,3.800518193,18.5,74.1,,96.4783516,0.95,0.05,2.323344946,,,,,,36.36363636,2.457037562,0.978611544,63.0,4.087369334,18.4,205,4.892110668,40.31296397,72.2,0.002861,0,0,0.012848547,0,0.41,0.0,0,4,3,0,1,1,0.926796377,0,0,-1.767393042,1,6700.0,42.2,75.7,9.4,5200.0,4800.0,75000.0,65000.0,7,1,2,2,10,2,1,2,1,2,2,0,2,2,2,4.0,3.0,0.0,12.0,4.0,3.0,3.0,2.0
Botswana,2018,SUBSAHARAN AFRICA,56.52,0,97.13,0.83,0.58,6750,0,0,1,0,0,0,0,2.0,0.36,58.42,18.23999977,0.398299992,31.4,24.10000038,7.2,54,129,21.9,4.331999779,385.0,43.59999847,95,96.0374,90.33255,12.49301,25.04684572,95.80573951,79.78883724,9.5,1.585,63.40000153,96.19999695,6.111111111,53.24000168,62.59297,0.103665291,30.28354068,9.0,18.60749626,3.800518193,18.5,74.1,,96.4783516,0.95,0.05,2.323344946,,,,,,36.36363636,2.457037562,0.978611544,63.0,4.087369334,18.4,205,4.892110668,40.31296397,72.2,0.002861,0,0,0.012848547,0,0.41,0.0,0,4,3,0,1,1,0.926796377,0,0,-1.767393042,1,6700.0,42.2,75.7,9.4,5200.0,4800.0,75000.0,65000.0,7,1,2,2,10,2,1,2,1,2,2,0,2,2,2,4.0,3.0,0.0,12.0,4.0,3.0,3.0,2.0
Brazil,2016,AMERICAS,59.64,1,24.57,4.34,0.57,8840,0,0,0,1,0,0,0,3.5,0.08,64.44,4.869999886,4.640500069,7.1,5.0,1.6,65,44,8.9,6.982999802,44.0,16.39999962,93,98.61661576,87.21,15.19340264,13.19181198,104.8639186,73.926385,9.899999619,0.8648,82.80000305,98.09999847,0.793266702,99.5,94.44256,-3.010705188,129.2533223,7.5,7.167889595,2.872005916,57.6,51.5,54.68999863,97.6826912,10.86877778,0.06,2.191393614,87.04,60.11,36.84210526,64.0,17.86980371,23.86831276,7.383987156,0.898994426,38.0,2.496853694,25.2,274,3.914332391,39.51743842,92.8,0.008038,0,0,0.001785934,0,0.54,0.0,1,4,4,0,1,1,0.873850601,0,0,-3.260456056,1,1401600.0,5.3,90.09,8.4,16000.0,15000.0,,,2,0,1,0,12,2,2,2,1,2,2,1,1,2,1,2.0,3.0,1.0,11.0,3.0,3.0,3.0,2.0
Cambodia,2016,ASIA,57.89,0,126.95,11.43,0.11,1140,0,1,0,0,0,0,0,2.5,1.65,44.37,6.150000095,3.028800011,32.4,14.19999981,9.6,62,161,14.8,3.819000006,390.0,28.70000076,94,87.13245796,98.38292,10.90489,42.36926361,58.84543762,87.71139316,20.29999924,0.4587,42.40000153,75.5,2.888888889,31.10000038,10.61382,-0.250030714,10.70651108,18.29999924,0.502257824,3.36078998,9.0,9.6,36.02999878,75.2648798,0.0,0.38,0.308073163,80.14,63.73,0.0,7.0,,6.666666667,18.00471269,0.825454102,21.0,2.926579304,6.5,106,3.574995713,45.39793838,62.1,0.009232,0,1,0.048485421,1,0.21,0.0,1,3,3,0,1,1,0.254533242,0,1,-1.497910185,0,34000.0,2.3,88.8,0.6,1500.0,1300.0,40000.0,36000.0,4,1,1,0,9,1,2,1,1,2,2,0,1,2,0,1.0,3.0,0.0,11.0,4.0,3.0,0.0,3.0
Cambodia,2018,ASIA,56.67,0,126.95,11.43,0.11,1140,0,1,0,0,0,0,0,2.5,1.68,44.37,6.150000095,3.028800011,32.4,14.19999981,9.6,62,161,14.8,3.819000006,390.0,28.70000076,94,87.13245796,98.38292,10.90489,42.36926361,58.84543762,87.71139316,20.29999924,0.4587,42.40000153,75.5,2.888888889,31.10000038,10.61382,-0.250030714,10.70651108,18.29999924,0.502257824,3.36078998,9.0,9.6,36.02999878,75.2648798,0.0,0.38,0.308073163,80.14,63.73,0.0,7.0,,6.666666667,18.00471269,0.825454102,21.0,2.926579304,6.5,106,3.574995713,45.39793838,62.1,0.009232,0,1,0.048485421,1,0.21,0.0,1,3,3,0,1,1,0.254533242,0,1,-1.497910185,0,34000.0,2.3,88.8,0.6,1500.0,1300.0,40000.0,36000.0,4,1,1,0,9,1,2,1,1,2,2,0,1,2,0,1.0,3.0,0.0,11.0,4.0,3.0,0.0,3.0
